,First_name,Last_name,Team,Conference,GP,GS,MPG,USG_P,OFF_RTG,DEF_RTG,TS_P,EFG_P,FT_RATE,3FG_TEND,OFF_REB_P,DEF_REB_P,REB_P,AST_P,STL_P,BLK_P,TO_P
101,Vladimir,Brodziansky,TCU,Big 12,39,30,23.9,25.5,125.8,99.4,0.631,0.579,46.9,8.3,10.8,17.1,13.0,0.06,0.01,0.09,0.09
102,Frank,Mason III,KAN,Big 12,36,36,36.1,25.5,126.9,102.9,0.631,0.573,48.4,35.4,2.0,10.4,5.9,0.26,0.02,0.0,0.13
103,Esa,Ahmad,WVU,Big 12,34,32,23.8,23.9,107.5,93.8,0.563,0.507,60.2,14.1,8.2,12.6,9.4,0.13,0.02,0.03,0.18
104,Jeffrey,Carroll,OKST,Big 12,33,21,29.1,23.6,131.4,108.8,0.662,0.617,40.7,36.0,7.4,18.9,11.9,0.08,0.02,0.01,0.11
105,Andrew,Jones,TEXAS,Big 12,33,23,27.9,23.5,102.8,100.1,0.5529999999999999,0.498,38.0,44.9,1.9,14.0,7.4,0.27,0.03,0.02,0.19
106,Kameron,McGusty,OU,Big 12,31,17,24.9,23.1,100.1,107.1,0.529,0.495,21.6,37.1,1.7,7.8,4.3,0.08,0.02,0.01,0.13
107,Monte,Morris,IOWAST,Big 12,35,35,35.3,22.7,125.0,102.6,0.56,0.523,23.9,30.8,3.7,11.3,7.1,0.32,0.03,0.01,0.08
108,Jarrett,Allen,TEXAS,Big 12,33,33,32.1,22.5,104.2,99.7,0.579,0.5660000000000001,47.2,2.2,11.0,18.9,13.8,0.06,0.01,0.05,0.18
109,Christian,James,OU,Big 12,31,14,22.0,22.5,88.9,104.6,0.48,0.435,31.8,41.7,4.1,14.1,8.3,0.1,0.02,0.0,0.19
110,Kamau,Stokes,K-STATE,Big 12,35,35,33.3,22.3,98.4,104.9,0.516,0.451,41.5,52.2,1.6,7.6,4.4,0.24,0.02,0.0,0.2
111,Wesley,Iwundu,K-STATE,Big 12,35,35,31.4,22.1,112.4,99.1,0.594,0.532,50.6,27.1,4.1,20.0,11.4,0.23,0.02,0.01,0.17
112,Niem,Stevenson,TEXTCH,Big 12,30,8,21.7,22.0,110.7,100.2,0.539,0.51,41.9,35.5,4.4,18.7,10.9,0.15,0.02,0.01,0.1
113,Anthony,Livingston,TEXTCH,Big 12,32,29,23.6,22.0,112.2,103.8,0.56,0.535,20.5,53.3,3.6,16.3,9.4,0.1,0.01,0.01,0.09
114,Kerwin,Roach Jr.,TEXAS,Big 12,32,31,30.0,21.7,93.6,100.2,0.489,0.43799999999999994,51.1,28.0,2.7,11.9,6.8,0.24,0.03,0.01,0.2
115,JD,Miller,TCU,Big 12,37,36,18.8,21.7,100.6,102.5,0.508,0.49,23.4,42.3,5.1,15.1,9.4,0.1,0.02,0.02,0.13
116,Zach,Smith,TEXTCH,Big 12,31,30,31.5,21.4,110.0,99.4,0.5670000000000001,0.537,38.0,15.1,10.7,18.7,13.8,0.09,0.01,0.06,0.15
117,Alex,Robinson,TCU,Big 12,39,31,32.9,21.3,101.5,102.6,0.49700000000000005,0.469,28.6,29.9,1.7,9.5,5.2,0.32,0.03,0.02,0.2
118,Barry,Brown,K-STATE,Big 12,35,35,32.7,21.2,99.2,98.6,0.503,0.475,33.1,38.1,1.9,9.8,5.5,0.15,0.04,0.0,0.13
119,Manu,Lecomte,BAYLOR,Big 12,33,32,30.1,21.0,117.3,103.3,0.588,0.5429999999999999,29.0,57.4,0.9,6.2,3.3,0.24,0.02,0.0,0.16
120,Nazareth,Mitrou-Long,IOWAST,Big 12,35,35,33.3,21.0,118.1,103.0,0.623,0.598,19.9,65.2,2.4,12.6,7.2,0.14,0.02,0.0,0.12
121,Jaylen,Fisher,TCU,Big 12,35,34,29.5,20.8,97.4,105.8,0.518,0.48,25.7,47.3,1.5,6.2,3.6,0.24,0.02,0.01,0.22
122,Al,Freeman,BAYLOR,Big 12,31,22,23.9,20.7,113.2,103.5,0.5920000000000001,0.53,40.5,52.6,3.2,8.9,5.6,0.09,0.01,0.0,0.16
123,Darrell,Bowie,IOWAST,Big 12,33,9,17.0,20.6,96.4,99.0,0.5,0.503,42.5,9.4,9.6,16.7,12.4,0.07,0.02,0.03,0.17
124,D.J.,Johnson,K-STATE,Big 12,34,33,26.0,20.4,118.6,98.6,0.657,0.623,55.1,0.0,10.5,16.0,12.4,0.04,0.02,0.07,0.15
125,Xavier,Sneed,K-STATE,Big 12,35,2,18.3,20.3,108.2,99.9,0.5770000000000001,0.5329999999999999,40.1,61.5,5.7,11.3,8.0,0.07,0.03,0.01,0.14
126,Kristian,Doolittle,OU,Big 12,31,25,25.0,20.1,104.0,103.1,0.521,0.43200000000000005,50.2,19.5,8.6,18.5,12.4,0.09,0.02,0.01,0.16
127,Aaron,Ross,TEXTCH,Big 12,27,9,22.3,20.0,120.0,104.0,0.603,0.53,45.2,47.6,3.5,12.7,7.6,0.11,0.01,0.0,0.11
128,Tarik,Phillip,WVU,Big 12,37,15,24.3,20.0,111.1,91.0,0.537,0.474,47.8,35.2,2.7,11.2,6.2,0.21,0.04,0.02,0.15
129,Rashard,Odomes,OU,Big 12,30,30,26.8,20.0,106.1,104.6,0.5329999999999999,0.489,57.5,4.0,5.9,12.0,8.2,0.14,0.02,0.01,0.14
130,Daxter,Miles Jr.,WVU,Big 12,33,26,21.0,19.9,116.6,93.6,0.544,0.528,29.2,49.6,6.3,6.9,6.1,0.14,0.04,0.01,0.09
131,Jevon,Carter,WVU,Big 12,37,36,32.0,19.8,118.3,89.0,0.578,0.534,32.8,48.9,3.4,14.9,8.1,0.21,0.04,0.01,0.13
132,Shaquille,Cleare,TEXAS,Big 12,33,33,21.5,19.2,108.6,102.7,0.585,0.555,30.0,0.5,8.2,16.1,11.3,0.05,0.01,0.03,0.15
133,Elijah,Macon,WVU,Big 12,35,27,16.0,18.3,116.1,94.2,0.58,0.5529999999999999,44.0,0.0,11.2,18.7,13.5,0.07,0.01,0.03,0.13
134,Eric,Davis Jr.,TEXAS,Big 12,33,22,26.7,18.2,85.3,105.7,0.428,0.401,19.0,58.3,1.3,9.1,4.8,0.07,0.01,0.0,0.13
135,Jo,Lual-Acuil Jr.,BAYLOR,Big 12,35,35,26.1,18.1,112.1,93.9,0.564,0.564,38.3,9.9,11.0,19.1,13.9,0.03,0.01,0.11,0.12
136,Devonte',Graham,KAN,Big 12,36,36,35.3,18.0,120.0,102.9,0.59,0.556,25.1,65.9,1.6,7.9,4.5,0.19,0.03,0.01,0.14
137,Khadeem,Lattin,OU,Big 12,31,31,23.8,17.8,110.3,95.8,0.575,0.516,54.9,0.0,10.8,17.8,13.1,0.04,0.03,0.1,0.16
138,Jacob,Young,TEXAS,Big 12,33,5,16.4,17.7,76.3,108.5,0.391,0.37,9.3,73.3,0.9,5.4,2.9,0.1,0.01,0.0,0.17
139,III,Forte,OKST,Big 12,33,32,31.1,17.6,130.0,112.5,0.619,0.562,27.8,64.6,2.5,7.2,4.3,0.08,0.02,0.0,0.09
140,Matt,Thomas,IOWAST,Big 12,35,35,30.9,17.3,123.1,104.4,0.6509999999999999,0.623,18.0,65.4,2.3,11.5,6.6,0.09,0.02,0.0,0.11
141,Leyton,Hammonds,OKST,Big 12,33,33,22.4,17.2,114.9,107.9,0.5589999999999999,0.521,21.6,49.5,6.8,18.8,11.5,0.05,0.02,0.02,0.13
142,Donovan,Jackson,IOWAST,Big 12,35,0,16.8,17.2,120.6,106.9,0.616,0.583,25.2,59.5,0.4,5.7,2.9,0.12,0.02,0.0,0.1
143,Kenrich,Williams,TCU,Big 12,37,36,32.7,16.9,124.0,97.2,0.5770000000000001,0.565,30.8,38.6,12.0,22.9,16.2,0.15,0.03,0.02,0.11
144,Sviatoslav,Mykhailiuk,KAN,Big 12,36,25,27.3,16.8,115.1,103.8,0.584,0.568,16.8,62.9,3.4,8.6,5.7,0.08,0.02,0.01,0.12
145,Nathan,Adrian,WVU,Big 12,37,37,30.3,16.7,113.8,93.5,0.522,0.478,35.3,36.9,9.2,13.4,10.3,0.16,0.02,0.02,0.15
146,Justin,Gray,TEXTCH,Big 12,32,27,28.9,16.5,114.7,98.7,0.584,0.547,33.5,12.7,7.4,16.2,11.1,0.11,0.02,0.04,0.15
147,Dean,Wade,K-STATE,Big 12,35,35,28.0,16.2,121.6,102.4,0.601,0.578,33.9,41.1,7.3,12.2,9.1,0.13,0.02,0.03,0.11
148,Desmond,Bane,TCU,Big 12,39,13,20.7,16.2,115.1,105.6,0.622,0.591,28.3,39.9,4.0,12.5,7.6,0.09,0.01,0.01,0.15
149,Kendal,Yancy,TEXAS,Big 12,29,7,18.6,16.0,104.1,103.0,0.528,0.49200000000000005,37.3,36.5,5.8,7.7,6.2,0.06,0.03,0.01,0.13
150,Lagerald,Vick,KAN,Big 12,36,6,24.4,15.4,109.3,103.3,0.556,0.521,21.0,42.0,4.8,11.0,7.5,0.06,0.01,0.02,0.14
