,Team,First_name,Last_name,GP,GS,MPG,USG_P,OFF_RTG,DEF_RTG,TS_P,EFG_P,FT_RATE,3FG_TEND,OFF_REB_P,DEF_REB_P,REB_P,AST_P,STL_P,BLK_P,TO_P
393,Missouri,Frankie,Hughes,30,11,19.3,27.6,80.7,104.5,0.404,0.383,20.4,64.6,2.5,12.3,6.5,0.137,0.019,0.004,0.121
394,Missouri,Kevin,Puryear,32,32,29.6,22.7,97.3,105.2,0.497,0.44,38.7,19.2,6.2,15.6,9.7,0.073,0.007,0.012,0.129
395,Missouri,Jordan,Barnett,23,13,27.4,22.4,106.6,103.7,0.551,0.515,23.8,51.9,6.8,15.9,10.1,0.053,0.013,0.019,0.105
396,Missouri,Terrence,Phillips,32,23,28.3,21.7,99.3,101.6,0.524,0.462,37.2,54.4,0.8,13.5,6.2,0.336,0.028,0.005,0.199
397,Missouri,K.J.,Walton,32,17,19,21.4,95,101.4,0.471,0.409,66.3,13.1,7.4,11.3,8.4,0.11,0.035,0,0.141
398,Missouri,Jordan,Geist,32,14,22.1,18.3,99.9,104.4,0.504,0.423,51.6,42.3,1.4,13.3,6.5,0.184,0.018,0,0.145
399,Missouri,Mitchell,Smith,11,0,7.5,18,88.6,97.1,0.561,0.588,82.4,0,3.7,21.4,11,0.053,0.021,0.056,0.232
400,Missouri,Russell,Woods,32,32,22.2,16.4,104.7,106.8,0.529,0.483,75.5,0,10.2,10.5,9.4,0.036,0.009,0.008,0.145
401,Missouri,Brett,Rau,5,0,1.4,14.1,-,96.3,0,0,0,0,29.1,0,13.8,0,0.082,0,0.5
402,Missouri,Reed,Nikko,28,0,10.5,13.1,103.9,100.3,0.523,0.509,45.5,0,8.3,14.7,10.3,0.071,0.016,0.076,0.154
403,Missouri,Cullen,VanLeer,32,17,23.7,12.8,101.7,106.4,0.528,0.5,15,82.5,0.8,7.5,3.6,0.111,0.017,0.012,0.132
404,Missouri,Adam,Wolf,10,0,2.2,11.2,-,107.9,0.2,0.2,0,40,13.9,0,6.6,0,0.026,0,0
405,Missouri,Jakoby,Kemp,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
406,Arizona,Allonzo,Trier,18,13,31.9,25.4,123.8,100.8,0.622,0.545,58.6,43.9,1.1,17.7,9.3,0.166,0.007,0.004,0.111
407,Arizona,Dusan,Ristic,36,34,22.8,23.5,117.2,99.2,0.591,0.558,27.5,0.7,9.9,18.3,13.3,0.042,0.008,0.021,0.106
408,Arizona,Lauri,Markkanen,37,37,30.8,22.3,132.6,99.8,0.643,0.584,43.6,43.4,10,17.5,13,0.056,0.008,0.018,0.082
409,Arizona,Kobi,Simmons,37,19,23.5,21.9,104.5,103.1,0.504,0.452,31.7,34.9,1.9,6,3.8,0.157,0.017,0.004,0.126
410,Arizona,Rawle,Alkins,37,36,28,21.2,111.9,98.8,0.572,0.534,32.7,38.5,7.1,13.6,9.8,0.14,0.019,0.018,0.159
