Team,Rk,Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
DePaul,10,Levi Cook,25,10.9,1.2,1.9,0.604,1.2,1.9,0.604,0,0,,0.3,0.5,0.615,2.3,0.1,0,0.4,0.8,1.8,2.6
DePaul,11,Al Eichelberger,26,8.2,0.6,0.8,0.762,0.6,0.8,0.762,0,0,,0.5,1.2,0.406,1.2,0,0.1,0.3,0.4,1,1.7
DePaul,12,Erten Gazi,13,4.2,0.5,0.7,0.667,0.3,0.4,0.8,0.2,0.3,0.5,0.3,0.3,1,0.8,0.2,0.1,0,0.2,0.1,1.4
DePaul,13,David Leitao III,2,2.5,0,0,,0,0,,0,0,,0,0,,0.5,0,0,0,0,0,0
Purdue,1,Caleb Swanigan,35,32.5,6.3,12,0.527,5.3,9.6,0.548,1.1,2.4,0.447,4.7,6,0.781,12.5,3,0.4,0.8,3.4,2.8,18.5
Purdue,2,Vince Edwards,35,28.6,4.6,9.4,0.486,3.2,6.2,0.518,1.3,3.2,0.423,2.1,2.5,0.82,4.9,3.2,0.5,0.5,1.7,1.8,12.6
Purdue,3,Isaac Haas,35,19.5,4.5,7.7,0.587,4.5,7.7,0.587,0,0,,3.5,4.9,0.711,5,0.6,0.3,0.8,2.2,2.1,12.6
Purdue,4,Carsen Edwards,35,23.2,3.7,9.6,0.382,2.3,5.5,0.414,1.4,4.1,0.34,1.6,2.2,0.724,2.6,1.8,1.1,0.1,1.8,1.9,10.3
Purdue,5,Dakota Mathias,35,31.7,3.4,7.2,0.47,1.3,2.6,0.5,2.1,4.5,0.453,0.9,1.1,0.821,3.9,3.8,0.9,0.1,1.5,2.1,9.7
Purdue,6,P.J. Thompson,35,28.6,2.5,5.5,0.455,1,1.7,0.576,1.5,3.8,0.402,0.9,1.3,0.705,2.1,2.9,1,0,0.7,2,7.4
Purdue,7,Ryan Cline,31,21.4,1.8,4.3,0.425,0.4,0.8,0.48,1.5,3.5,0.413,0.3,0.4,0.818,2,1.6,0.4,0.1,0.7,1.4,5.4
Purdue,8,Basil Smotherman,18,12.1,1.7,3,0.556,1.4,2.3,0.634,0.2,0.7,0.308,0.3,0.6,0.545,1.7,0.8,0.5,0.1,0.7,1.7,3.9
Purdue,9,Spike Albrecht,28,12.5,0.4,1.5,0.268,0.2,0.5,0.333,0.2,0.9,0.231,0.6,0.7,0.947,1.5,1.3,0.4,0,0.3,0.9,1.6
Purdue,10,Grady Eifert,16,2.9,0.4,0.4,0.857,0.4,0.4,0.857,0,0,,0.2,0.3,0.6,0.5,0,0.1,0.1,0,0.2,0.9
Purdue,11,Jon McKeeman,15,1.9,0.1,0.3,0.4,0.1,0.2,0.333,0.1,0.1,0.5,0,0,,0.1,0,0.1,0,0.1,0.1,0.3
Purdue,12,Tommy Luce,15,1.7,0,0.3,0,0,0.3,0,0,0.1,0,0.1,0.2,0.333,0,0.3,0.1,0,0.4,0.2,0.1
Wisconsin,1,Bronson Koenig,36,31.4,5,12,0.42,2.2,4.7,0.459,2.9,7.3,0.395,1.6,1.8,0.905,2.1,2,0.6,0.3,1.4,1.7,14.5
Wisconsin,2,Ethan Happ,37,27.9,5.9,10,0.588,5.9,10,0.588,0,0,,2.2,4.4,0.5,9,2.8,1.8,1.2,2.2,2.8,14
Wisconsin,3,Nigel Hayes,37,32.2,4.9,10.6,0.457,4.3,8.8,0.488,0.6,1.9,0.314,3.6,6.2,0.587,6.6,2.7,0.8,0.4,1.7,1.8,14
Wisconsin,4,Zak Showalter,37,29.4,2.9,5.8,0.5,1.6,2.5,0.637,1.3,3.3,0.398,1.2,1.4,0.83,2.9,1.8,1.5,0.3,1.1,2.7,8.3
