Team,First_name,Last_name,GP,GS,MPG,USG_P,OFF_RTG,DEF_RTG,TS_P,EFG_P,FT_RATE,3FG_TEND,OFF_REB_P,DEF_REB_P,REB_P,AST_P,STL_P,BLK_P,TO_P
North Carolina,"1 Rush, Shea F",f,20,0,1.7,29.5,83.1,92.1,0.389,0.321,85.7,21.4,3.2,9.8,6,0.000,0.051,0.034,0.094
North Carolina,"2 Jackson, Justin F",f,40,39,32,25.8,119,101.9,0.559,0.531,22,47.7,4.8,10.8,7.1,0.158,0.014,0.008,0.094
North Carolina,"3 Meeks, Kennedy F",f,40,40,24.3,22.6,122.7,92,0.577,0.555,38.5,0,16.5,25.1,19.1,0.076,0.022,0.054,0.100
North Carolina,"4 Berry II, Joel G",f,38,37,30.4,22.1,117.9,99.7,0.573,0.529,32.1,53.9,1.5,9.5,5,0.197,0.026,0.005,0.129
North Carolina,"5 Hicks, Isaiah F",f,39,39,23.3,21.6,121.1,98.6,0.63,0.576,48,0,8.4,16.8,11.5,0.106,0.010,0.036,0.149
North Carolina,"6 Bradley, Tony F",f,38,0,14.6,20.5,128,97.4,0.6,0.573,59,0,18.6,18.9,17.3,0.071,0.010,0.044,0.100
North Carolina,"7 Maye, Luke F",f,35,1,14.2,19.3,114.3,98,0.54,0.528,23.3,24.5,12.3,17.4,13.6,0.136,0.017,0.016,0.143
North Carolina,"8 Woods, Seventh G",f,40,0,7.7,17.7,74.4,93.9,0.391,0.3,68.3,18.3,2.1,17.1,8.7,0.224,0.038,0.007,0.350
North Carolina,"9 Pinson, Theo G-F",f,21,13,23.8,15,108.5,98.8,0.479,0.42,41.6,33.6,5.9,14.9,9.5,0.227,0.020,0.009,0.188
North Carolina,"10 Robinson, Brandon G",f,37,0,7.6,14.6,102.8,99.9,0.455,0.398,42.2,46.9,4.1,12.3,7.5,0.145,0.018,0.012,0.156
North Carolina,"11 White, Stilman G",f,27,1,3.6,14.6,143,102.9,0.681,0.55,90,20,5.4,6.7,5.6,0.078,0.017,0.000,0.097
North Carolina,"12 Britt, Nate G",f,40,7,19,14.1,103.5,99,0.459,0.425,20.4,43.1,1.5,8.8,4.7,0.182,0.030,0.003,0.158
North Carolina,"13 Williams, Kenny G",f,26,22,23.7,13.5,112.6,100.5,0.532,0.514,21.6,57.6,5.8,9.1,6.9,0.135,0.021,0.014,0.165
North Carolina,"14 Coker, Kanler G",f,21,1,1.3,11.7,146.7,101.4,0.726,0.5,125,0,7.5,7.7,7,0.052,0.020,0.000,0.139
North Carolina,"15 Rohlman, Aaron F",f,20,0,1.7,2.8,-,91.1,0,0,0,0,3.2,39.3,19.4,0.040,0.017,0.000,0.500
Florida State,"1 Bacon, Dwayne G",f,35,35,28.8,29.4,108.3,103.1,0.548,0.51,28.2,35,4,11.9,7.5,0.116,0.019,0.004,0.114
Florida State,"2 Savoy, PJ G",f,28,0,8.1,28.6,121.3,103.1,0.609,0.588,26.3,87.7,2,9,5.2,0.058,0.025,0.005,0.066
Florida State,"3 Walker, CJ G",f,33,0,12.5,21.4,104.8,102.4,0.502,0.46,40.4,41.2,3.6,8.6,5.7,0.174,0.027,0.005,0.135
Florida State,"4 Isaac, Jonathan F",f,32,32,26.2,20.3,120.5,93.2,0.622,0.568,46.1,34.8,7.7,25,15.3,0.075,0.025,0.062,0.135
Florida State,"5 Rathan-Mayes, Xavier G",f,35,35,27.7,20.3,110.5,103.9,0.532,0.52,39.5,41.9,2.6,10,5.9,0.288,0.019,0.004,0.158
Florida State,"6 Allen, Brandon F",f,14,0,6.1,19.9,124.7,105.6,0.639,0.625,6.3,71.9,1.3,6.2,3.6,0.082,0.013,0.025,0.084
Florida State,"7 Angola-Rodas, Braian G",f,34,0,11.8,18,121.4,102.3,0.59,0.543,35.7,43.5,3.2,11.8,7,0.171,0.021,0.011,0.119
Florida State,"8 Ojo, Michael C",f,35,34,12.2,17.9,123.9,99.4,0.648,0.564,71.3,0,14.9,14.4,13.4,0.027,0.013,0.075,0.169
Florida State,"9 Forrest, Trent G",f,35,0,15.4,17.3,108.1,96.8,0.534,0.477,55,6.2,6.7,12.6,8.9,0.163,0.045,0.010,0.179
Florida State,"10 Smith, Jarquez F",f,35,3,13.1,16.7,110.1,100,0.566,0.535,40,8.7,8.5,15.2,11,0.061,0.010,0.069,0.156
Florida State,"11 Mann, Terance G",f,35,34,25,15.2,122.1,102.3,0.62,0.593,44.9,11.6,8.6,11.5,9.3,0.109,0.022,0.007,0.150
Florida State,"12 Koumadje, Christ C",f,35,0,10.1,14.7,113.6,97.8,0.641,0.654,30.9,1.2,6.2,13.9,9.4,0.019,0.011,0.120,0.156
Florida State,"13 Cofer, Phil F",f,32,2,12.5,14.1,91.7,106.2,0.506,0.488,23.8,19,6.1,11,7.9,0.027,0.006,0.008,0.212
Louisville,"1 Sharpe, Tyler G",f,7,0,1.6,40.4,-,99.6,0.125,0.125,0,75,10,20.1,14,0.151,0.000,0.000,0.111
Louisville,"2 Henderson, Jay G",f,17,0,2.1,26.5,100,92.7,0.422,0.344,25,50,0,9.5,4.4,0.155,0.051,0.000,0.053
Louisville,"3 Mitchell, Donovan G",f,34,33,32.3,24.6,114.1,93.7,0.538,0.498,24.3,50.9,3.7,12.9,7.7,0.160,0.038,0.017,0.102
Louisville,"4 Hicks, Tony G",f,23,1,10,24.4,88.5,98,0.463,0.426,33.3,24.7,1,10.5,5.3,0.148,0.026,0.005,0.184
Louisville,"5 McMahon, Ryan G",f,28,0,6.3,21.4,111.7,99.6,0.537,0.492,23.3,86.7,1.3,7.5,4.1,0.166,0.020,0.013,0.131
Louisville,"6 Snider, Quentin G",f,28,28,31.3,21.4,113.6,103.2,0.515,0.478,27.2,49.8,2.8,6.7,4.4,0.233,0.012,0.000,0.111
Louisville,"7 Adel, Deng F",f,33,30,30.1,21,111.4,99.2,0.532,0.488,28.7,38,2.6,13.8,7.6,0.128,0.012,0.014,0.107
Louisville,"8 King, V.J. F",f,33,7,13.5,20.6,112.3,100.6,0.556,0.489,40.3,27.3,4.2,12.7,7.9,0.064,0.009,0.008,0.119
Louisville,"9 Stockman, Matz F-C",f,18,0,4.1,20.4,116.1,96.8,0.657,0.647,88.2,0,17.9,13.4,14.6,0.074,0.016,0.030,0.229
Louisville,"10 Mathiang, Mangok F-C",f,33,19,20.8,19.3,115.2,94,0.564,0.531,38.8,0,13.7,18.2,14.8,0.064,0.015,0.061,0.142
Louisville,"11 Johnson, Jaylen F",f,34,26,20.5,18.6,118.4,96.6,0.62,0.6,48.9,3.9,14.4,16.7,14.5,0.048,0.014,0.027,0.167
Louisville,"12 Spalding, Ray F",f,34,8,19.2,16,110.4,92.2,0.596,0.59,57.5,2.2,11,20.8,14.8,0.072,0.020,0.050,0.204
Louisville,"13 Mahmoud, Anas F",f,31,15,18.7,15.3,111.2,89.4,0.607,0.623,42.6,0,9.1,14.5,11,0.080,0.028,0.126,0.195
Louisville,"14 Levitch, David G",f,32,3,9.3,11.1,117.5,99.5,0.494,0.491,24.1,63,4.1,10.1,6.6,0.156,0.020,0.000,0.105
Notre Dame,"1 Mazza, Patrick F",f,4,0,1,39.3,-,88.7,0.5,0.5,0,0,0,28.5,13.4,0.000,0.000,0.262,0.333
Notre Dame,"2 Gregory, Matt F",f,5,0,1.2,34.9,-,115.1,0,0,0,100,0,0,0,0.000,0.000,0.000,0.000
Notre Dame,"3 Colson, Bonzie F",f,36,36,32.1,25.9,125.1,96.8,0.605,0.555,40.1,13.4,10.6,25.4,16.8,0.102,0.021,0.045,0.077
Notre Dame,"4 Farrell, Matt G",f,36,36,34.4,22,113,106.7,0.59,0.553,26.6,50.3,0.9,5.8,3.1,0.294,0.025,0.004,0.175
Notre Dame,"5 Beachem, V.J. F",f,36,36,34.2,21.9,107.6,104.7,0.549,0.52,16.5,54.4,2.2,11.4,6.4,0.048,0.016,0.032,0.078
Notre Dame,"6 Ryan, Matt F",f,36,0,7.9,21.3,116.4,107.3,0.633,0.616,10.1,83.8,2.5,10.4,6,0.093,0.013,0.004,0.112
Notre Dame,"7 Vasturia, Steve G",f,36,36,34.6,20,114.2,105.6,0.566,0.511,26.7,43.3,2.4,10.6,6.1,0.175,0.020,0.003,0.120
Notre Dame,"8 Gibbs, Temple G",f,36,1,15,18.5,108.1,104.4,0.519,0.438,43.4,39,2.6,8.7,5.3,0.197,0.029,0.004,0.147
Notre Dame,"9 Geben, Martinas F",f,34,23,12.4,12.5,127.5,100.4,0.684,0.646,46.2,0,11.8,19.8,14.6,0.103,0.019,0.027,0.220
Notre Dame,"10 Pflueger, Rex G",f,35,11,21.4,11.9,112.9,103.3,0.563,0.545,21.8,51.1,2.8,11.9,6.9,0.118,0.025,0.017,0.141
Notre Dame,"11 Burns, Elijah F",f,11,0,4,11.3,125.3,101.8,0.598,0.25,200,25,13.4,12.9,12.2,0.035,0.027,0.024,0.210
Notre Dame,"12 Mooney, John F",f,12,0,3.8,11.3,160.3,96.7,0.788,0.75,25,50,15.4,32.2,22.1,0.076,0.013,0.023,0.101
Notre Dame,"13 Torres, Austin F",f,36,1,7.3,11,108.9,102.3,0.523,0.553,47.4,0,10.4,13.5,11.1,0.045,0.021,0.032,0.164
Duke,"1 Tatum, Jayson F",f,29,27,33.3,26.1,110.1,97.2,0.573,0.507,38.1,32.1,4.9,19.7,11.8,0.124,0.023,0.032,0.151
Duke,"2 Besser, Brennan G",f,1,0,2,25.1,-,110.4,0,0,0,100,0,0,0,0.000,0.000,0.000,0.000
Duke,"3 Allen, Grayson G",f,34,25,29.6,25,115.1,104.3,0.576,0.508,44.5,62.2,2.7,11.3,6.7,0.215,0.015,0.002,0.148
Duke,"4 Kennard, Luke G",f,37,36,35.5,24,128.9,103.8,0.636,0.579,38.6,41.4,3.9,12.1,7.6,0.136,0.014,0.009,0.094
Duke,"5 Jackson, Frank G",f,36,16,24.9,21,117.6,105.9,0.605,0.564,36.3,45.9,3.1,8.2,5.4,0.126,0.013,0.002,0.131
Duke,"6 Giles, Harry F",f,26,6,11.5,17.9,114.6,96.1,0.576,0.577,30.8,0,16.4,21.5,17.8,0.056,0.017,0.053,0.169
Duke,"7 Jefferson, Amile F",f,35,35,29.7,16.9,125.1,96.9,0.635,0.613,60.1,0,9.7,22,15.1,0.093,0.013,0.059,0.140
Duke,"8 Bolden, Marques C",f,24,1,6.5,15.9,91.8,104.2,0.48,0.457,22.9,0,10.7,8.3,8.8,0.022,0.007,0.042,0.222
Duke,"9 Vrankovic, Antonio C",f,13,0,7.8,15.3,128.1,101.7,0.692,0.684,57.9,0,19,19.5,18,0.088,0.000,0.037,0.227
Duke,"10 White, Jack F",f,10,0,6.1,14.3,125.4,100.3,0.784,0.722,111.1,22.2,3.9,19.7,11.4,0.028,0.010,0.031,0.230
Duke,"11 Pagliuca, Nick G",f,5,0,1.6,12.6,-,112.5,0,0,0,100,0,0,0,0.363,0.000,0.000,0.000
Duke,"12 DeLaurier, Javin F",f,12,0,7.1,12.3,98.8,95.2,0.745,0.818,36.4,9.1,11.3,19.3,14.4,0.020,0.027,0.044,0.385
Duke,"13 Jones, Matt G",f,37,33,32.9,12,108.9,103,0.519,0.504,10.9,61.3,3.7,6,4.6,0.097,0.030,0.005,0.141
Duke,"14 Jeter, Chase F-C",f,16,6,14.9,11.6,94.3,99.7,0.541,0.5,103.8,0,9.1,11.5,9.6,0.040,0.017,0.067,0.310
Duke,"15 Robinson, Justin F",f,6,0,1.7,4.4,-,108.1,0.568,-,-,-,0,10.9,5.3,0.000,0.000,0.000,0.000
Virginia,"1 Gross Jr., Trevon G",f,11,0,2.4,37,39.2,88.4,0.121,0.125,8.3,66.7,15.2,9.7,11.2,0.135,0.052,0.000,0.243
Virginia,"2 Bartley, Justice G",f,10,0,2.7,32.2,58.2,88,0.455,0.5,22.2,55.6,0,32.9,15.2,0.081,0.000,0.051,0.336
Virginia,"3 Nichols, Austin F",f,1,0,16,30.4,135.9,94.3,0.661,0.571,42.9,14.3,0,23.8,11,0.000,0.000,0.000,0.000
Virginia,"4 Shayok, Marial G",f,34,14,20.6,27.6,98.9,91.9,0.514,0.48,19.9,21.3,2.2,12.6,6.8,0.108,0.029,0.020,0.109
Virginia,"5 Perrantes, London G",f,34,34,32.1,24.1,109.7,96.7,0.548,0.506,25.8,49.3,1.3,10.6,5.5,0.247,0.015,0.003,0.129
Virginia,"6 Guy, Kyle G",f,34,6,18.6,22.3,114.2,97,0.581,0.563,17.1,50.2,1,10.4,5.3,0.152,0.014,0.002,0.087
Virginia,"7 Reuter, Jarred F",f,32,0,10.8,21.4,107.2,94.2,0.611,0.58,28.4,0,9.9,15.8,11.7,0.126,0.014,0.008,0.214
Virginia,"8 Hall, Devon G",f,34,34,27.4,19.4,105.8,94.3,0.517,0.473,27.3,35.1,3.1,17.3,9.4,0.139,0.013,0.006,0.113
Virginia,"9 Thompson, Darius G",f,33,15,20.8,19.1,105.9,93.5,0.539,0.523,25,43,1.1,8.9,4.6,0.215,0.027,0.024,0.147
Virginia,"10 Jerome, Ty G",f,34,4,13.9,18.3,109.1,93.2,0.623,0.605,16.4,66.4,0.3,14.5,6.8,0.212,0.021,0.006,0.203
Virginia,"11 Jones, Jeff F",f,5,0,3.6,16.2,-,98.2,0.5,0.5,0,66.7,7.3,14.1,9.7,0.000,0.000,0.000,0.400
Virginia,"12 Diakite, Mamadi F",f,32,1,14,15.6,111.9,88.6,0.568,0.56,35.9,12,8.2,15.2,10.7,0.027,0.012,0.120,0.109
Virginia,"13 Wilkins, Isaiah F",f,33,28,26.5,14.8,119.5,88.1,0.599,0.568,35.2,4.3,11.7,17.4,13.3,0.084,0.025,0.068,0.154
Virginia,"14 Salt, Jack C",f,34,34,18.4,12.5,111.9,91.9,0.559,0.559,48.4,0,11.1,17.2,12.9,0.039,0.012,0.049,0.157
Virginia Tech,"1 Donlon, Greg F",f,2,0,0.5,52.3,-,117.3,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
Virginia Tech,"2 LeDay, Zach F",f,33,5,29.4,26.7,121,104.8,0.625,0.554,63.2,11.8,11,18.5,14,0.086,0.011,0.035,0.123
Virginia Tech,"3 Allen, Seth G",f,32,5,28.9,23.4,110.5,109.9,0.654,0.626,35.6,42,1.1,8.1,4.5,0.229,0.016,0.004,0.215
Virginia Tech,"4 Clarke, Chris G-F",f,24,19,28.9,19.9,119.7,101.5,0.637,0.597,69.1,7.9,6.6,22.6,14.1,0.216,0.025,0.010,0.185
Virginia Tech,"5 Robinson, Justin G",f,33,33,31.5,19.2,109.2,110.1,0.568,0.494,55.4,45,2,9,5.4,0.270,0.013,0.006,0.214
Virginia Tech,"6 Sy, Khadim F",f,32,28,11.4,19.1,104,105.3,0.583,0.572,27.8,1,10,17.8,13.2,0.032,0.005,0.056,0.181
Virginia Tech,"7 Hill, Ahmed G",f,33,28,29.7,18.9,111.6,111,0.59,0.553,34.4,57.2,1.3,11.1,6.1,0.075,0.005,0.006,0.104
Virginia Tech,"8 Hamilton, Johnny C",f,3,0,7,16.5,173.1,99.4,0.828,1,150,0,18.6,5.3,10.7,0.000,0.056,0.049,0.000
Virginia Tech,"9 Bibbs, Justin G",f,33,33,31.3,15.3,108.7,111.9,0.562,0.542,15.9,61.5,1.5,8.7,5,0.091,0.006,0.003,0.109
Virginia Tech,"10 Outlaw, Ty G-F",f,33,14,17.7,14.8,124.1,107.3,0.688,0.682,6.8,80.1,2.2,15.9,8.9,0.034,0.009,0.019,0.091
Virginia Tech,"11 Galloway, Matt G",f,14,0,2.8,12.1,-,111.9,0.167,0.167,0,100,0,2.9,1.4,0.040,0.015,0.000,0.000
Miami,"1 Newton, Ja'Quan G",f,30,28,31.4,27.4,96.1,101.6,0.517,0.468,40.1,12,2.3,10.8,6,0.236,0.023,0.001,0.201
Miami,"2 Reed, Davon G",f,33,33,35.3,22.1,113.7,99.8,0.585,0.539,29,53.5,2.9,13.1,7.4,0.143,0.023,0.015,0.138
Miami,"3 Brown, Bruce G",f,33,29,31.9,20.7,112.5,97.2,0.566,0.515,41.4,32.5,5.6,15.3,9.6,0.207,0.029,0.019,0.163
Miami,"4 Robinson, Mike G",f,9,0,2.1,19.2,27.5,103.7,0.085,0,40,80,6.4,0,2.9,0.000,0.033,0.000,0.145
Miami,"5 Huell, Dewan F",f,32,15,17.4,18.8,106.2,100.2,0.558,0.531,35.2,1.4,9.8,11.3,9.6,0.023,0.015,0.050,0.152
Miami,"6 Vasiljevic, Dejan G",f,33,0,17.5,18.7,107.9,105.2,0.516,0.497,11,80.2,1.1,7.9,4.1,0.052,0.012,0.002,0.064
Miami,"7 Izundu, Ebuka C",f,32,9,13,18.2,108.4,98.8,0.579,0.541,42.9,0,13.7,14,12.6,0.030,0.010,0.067,0.188
Miami,"8 Lawrence, Jr., Anthony G",f,33,18,26,15.3,106.2,97.7,0.559,0.517,35.8,57.2,3.8,13.2,7.8,0.126,0.031,0.020,0.190
Miami,"9 Miller, Rodney C",f,15,0,3.8,14.8,103.1,105.6,0.468,0.455,81.8,0,8.6,10.3,8.6,0.000,0.000,0.020,0.063
Miami,"10 Murphy, Kamari F",f,33,33,29.4,14.7,102.4,99.6,0.533,0.508,36.5,0.5,9.9,19.5,13.5,0.038,0.008,0.026,0.186
Miami,"11 Stowell, Chris F",f,6,0,1.7,5.3,-,101.6,0,0,0,100,0,23.4,10.8,0.000,0.000,0.000,0.000
Syracuse,"1 Akintobi-Adeyeye, Doyin F",f,13,0,1.5,38.8,78.6,97.9,0.437,0.455,9.1,0,25.1,11.5,16.4,0.000,0.031,0.125,0.208
Syracuse,"2 Radner, Jonathan G",f,4,0,1.5,34.1,-,99.4,0,0,0,66.7,0,36.4,17.3,0.511,0.000,0.000,0.250
Syracuse,"3 Autry, Adrian G",f,12,0,1.4,28.4,87.6,91.9,0.424,0.444,11.1,77.8,0,19.3,9.1,0.000,0.070,0.000,0.000
Syracuse,"4 Thompson, Taurean F",f,34,21,17.9,26.5,106.5,101.6,0.575,0.553,31.9,6.7,9.2,14.8,11,0.071,0.023,0.065,0.139
Syracuse,"5 White III, Andrew G",f,34,34,37.2,23,117.5,105.4,0.612,0.565,31.3,61.6,2.6,11.2,6.5,0.061,0.026,0.011,0.098
Syracuse,"6 Feldman, Ky G",f,9,0,1.6,21.9,-,113.8,0.417,0.417,0,83.3,8.5,7.8,7.4,0.280,0.000,0.000,0.000
Syracuse,"7 Coleman, DaJuan C",f,17,13,15.6,21.1,99.2,101.2,0.556,0.535,49.3,1.4,14,20.6,15.8,0.022,0.016,0.040,0.210
Syracuse,"8 Howard, Frank G",f,33,14,16.2,21,96.8,103.2,0.459,0.417,38.1,41,4,7.6,5.3,0.402,0.042,0.011,0.260
Syracuse,"9 Belbey, Shaun G",f,12,0,1.5,19.9,-,117.7,0.2,0.2,0,40,0,0,0,0.186,0.000,0.000,0.286
Syracuse,"10 Gillon, John G",f,34,23,29.9,18.9,117.4,108.2,0.588,0.516,42.2,50.4,1.5,5.4,3.2,0.330,0.029,0.001,0.192
Syracuse,"11 Battle, Tyus G",f,34,25,30.7,18.2,114.2,108.1,0.58,0.536,30.4,56,1.3,6.4,3.6,0.105,0.025,0.009,0.105
Syracuse,"12 Lydon, Tyler F",f,34,34,36.1,17.9,119.7,101.8,0.605,0.55,36.4,38.9,7.7,19.2,12.4,0.108,0.017,0.047,0.138
Syracuse,"13 Dourdas, Evan G",f,3,0,1,17,-,117.7,-,-,-,-,0,0,0,0.000,0.000,0.000,1.000
Syracuse,"14 Roberson, Tyler F",f,34,6,20.4,14.6,107.7,103.4,0.557,0.566,41.2,0,11,16.3,12.5,0.080,0.015,0.046,0.187
Syracuse,"15 Sutton, Mike G",f,7,0,1.7,14.6,50,104,0,0,50,100,9.9,27.3,17.3,0.255,0.000,0.000,0.291
Syracuse,"16 Featherston, Ray G",f,3,0,1.3,12.8,-,117.7,1.5,1.5,0,100,0,0,0,0.000,0.000,0.000,0.000
Syracuse,"17 Chukwu, Paschal C",f,7,0,15.4,10.9,71.3,97.5,0.463,0.667,100,0,12.2,18.2,13.9,0.031,0.017,0.154,0.436
Wake Forest,"1 Collins, John F",f,33,33,26.6,29.7,128.7,104.7,0.668,0.622,58.5,0.3,16.4,25.7,19.4,0.045,0.014,0.065,0.114
Wake Forest,"2 Mitchell, Donovan F",f,4,0,1.8,27.1,62.8,115.2,0.798,1,200,0,0,16.1,7.5,0.000,0.000,0.000,0.515
Wake Forest,"3 Crawford, Bryant G",f,33,33,31.8,25,117.6,109.7,0.578,0.508,44.6,40.4,1.2,12.3,6.3,0.322,0.026,0.009,0.141
Wake Forest,"4 Bilas, Anthony G",f,3,0,0.7,24.4,-,118.7,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
Wake Forest,"5 Spivey, Aaron G",f,2,0,1,21.5,-,101.1,0.568,-,-,-,0,56.3,26.3,0.000,0.000,0.000,0.000
Wake Forest,"6 Washington, Rich F",f,8,0,2.1,20.1,-,115.4,0.167,0.167,0,66.7,0,13.3,6.2,0.276,0.000,0.000,0.143
Wake Forest,"7 Woods, Keyshawn G",f,33,22,30.5,19.3,118.2,113.6,0.605,0.575,26.9,36.7,2.7,13,7.3,0.210,0.010,0.000,0.143
Wake Forest,"8 Mitoglou, Dinos F",f,33,32,24.6,18.9,109,108.7,0.556,0.486,45.7,39.4,8.5,19.9,13.1,0.061,0.014,0.030,0.156
Wake Forest,"9 Moore, Doral C",f,31,0,8.4,18.5,92.3,105.8,0.539,0.525,49.2,0,11.2,19.1,14,0.007,0.004,0.115,0.244
Wake Forest,"10 Childress, Brandon G",f,33,0,21.5,17.9,100,112,0.509,0.432,47.5,43.5,1,10.3,5.3,0.164,0.022,0.002,0.180
Wake Forest,"11 Arians, Austin F",f,33,33,22.8,15.4,127.8,114.9,0.649,0.619,18.4,71.1,2.5,6.9,4.3,0.085,0.013,0.004,0.088
Wake Forest,"12 Wilbekin, Mitchell G",f,32,10,24.8,13.7,115.4,114.3,0.553,0.489,31.6,65.5,0.7,6,3.1,0.100,0.018,0.003,0.094
Wake Forest,"13 Japhet-Mathias, Sam C",f,17,0,4,12.8,85.7,111.2,0.551,0.5,20,0,12,13.3,11.6,0.024,0.000,0.065,0.391
Wake Forest,"14 Rike, Troy F",f,5,0,1.2,11.7,143.7,99.7,0.694,1,100,0,19.4,56.3,35.1,0.000,0.000,0.000,0.000
Wake Forest,"15 McClinton, Greg F",f,26,1,7.1,10.3,98.2,114.2,0.514,0.537,18.5,3.7,12.6,7.9,9.4,0.009,0.012,0.006,0.255
Wake Forest,"16 VanHorn, Trent G",f,22,1,2.4,8.2,95.9,117,0.51,0.4,40,0,2.2,8.5,5,0.143,0.000,0.000,0.338
Wake Forest,"17 Anderson, Britton G",f,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Georgia Tech,"1 Harris, Norman G",f,4,0,1.8,36.3,-,108.6,0.25,0.25,0,0,16.7,0,7.3,0.000,0.000,0.000,0.200
Georgia Tech,"2 Jackson, Tadric G",f,36,5,23.8,28.8,95.8,101.4,0.514,0.499,27.4,32.5,1.8,8.3,4.8,0.183,0.016,0.009,0.124
Georgia Tech,"3 Okogie, Josh G",f,37,37,30.8,27.3,106.5,96.1,0.558,0.486,56.3,17.1,5.7,13.6,9.1,0.121,0.025,0.025,0.126
Georgia Tech,"4 Medlock, Shaheed G",f,3,0,2,25.4,-,98.9,0.333,0.333,0,0,0,17.6,8.5,0.000,0.000,0.000,0.000
Georgia Tech,"5 Matthews, Christian F",f,15,0,7.3,24.9,101.6,101.2,0.533,0.462,51.3,35.9,2.1,6.7,4.2,0.076,0.016,0.029,0.112
Georgia Tech,"6 Lammers, Ben C",f,37,37,35.4,20.9,110.9,91.1,0.556,0.517,32,0.5,9.9,18.7,13.4,0.133,0.019,0.101,0.119
Georgia Tech,"7 Rowland, Rand F",f,8,0,2,19.1,-,106.4,0.333,0.333,0,0,21.9,6.6,12.8,0.227,0.000,0.000,0.500
Georgia Tech,"8 Stephens, Quinton F",f,37,37,33.3,19,95,94,0.495,0.461,26.8,54.8,4.7,20,11.8,0.128,0.021,0.023,0.157
Georgia Tech,"9 Ogbonda, Sylvester F",f,23,0,5.2,18.2,92.6,95.6,0.529,0.481,59.3,0,6.8,15,10.3,0.066,0.015,0.053,0.209
Georgia Tech,"10 Moore, Justin G",f,34,18,18.8,16.8,86.9,102.5,0.464,0.442,37.2,7.3,2.8,7.5,4.8,0.244,0.014,0.007,0.242
Georgia Tech,"11 Price, Jodan G-F",f,15,0,2.9,16.6,-,96,0.179,0.179,0,71.4,0,17.2,8.3,0.041,0.014,0.049,0.000
Georgia Tech,"12 Gueye, Abdoulaye F",f,20,3,10.1,13.8,61.3,96.1,0.375,0.393,21.4,10.7,10.4,16.2,12.4,0.080,0.009,0.063,0.439
Georgia Tech,"13 Heath, Josh G",f,33,24,30.7,13.6,85.2,100.6,0.467,0.429,26,25.4,1.5,7.6,4.3,0.260,0.022,0.006,0.306
Georgia Tech,"14 McCormick, Kellen F",f,24,0,4.7,9.5,-,104.2,1.094,1.094,0,93.8,1,6.6,3.6,0.052,0.010,0.000,0.238
Georgia Tech,"15 Heyward, Corey G",f,37,24,16.8,8.4,93,101,0.428,0.371,45.7,47.1,3.2,8.5,5.5,0.106,0.019,0.003,0.176
Clemson,"1 Blossomgame, Jaron F",f,33,33,34.3,25.8,114.1,106.7,0.567,0.526,38.1,21.3,5.9,15.5,9.8,0.097,0.014,0.029,0.098
Clemson,"2 Reed, Marcquise G",f,33,0,21.5,23.3,116.6,104.7,0.58,0.492,44.7,34.6,2.6,10,5.7,0.174,0.039,0.002,0.124
Clemson,"3 Thomas, Elijah F",f,24,9,16.9,22.2,110,99.3,0.573,0.578,35.6,0.7,8.7,20.5,13.4,0.037,0.025,0.075,0.114
Clemson,"4 Spencer, Scott G",f,6,0,4.7,21.9,-,107.6,0.333,0.333,0,16.7,0,12.7,5.7,0.000,0.021,0.000,0.000
Clemson,"5 Mitchell, Shelton G",f,29,27,27,21.5,111.1,110.7,0.581,0.522,41,27.9,1.6,8.6,4.7,0.251,0.015,0.003,0.179
Clemson,"6 McGillan, Riley G",f,6,0,2.5,20.5,-,108.7,0.2,0.2,0,80,0,0,0,0.113,0.040,0.000,0.167
Clemson,"7 DeVoe, Gabe G",f,33,7,24,18.5,96.3,106.5,0.485,0.474,13.2,58.6,3.2,10.6,6.3,0.143,0.028,0.010,0.164
Clemson,"8 Holmes, Avry G",f,33,33,26.8,17.9,122,109,0.601,0.554,32.7,62.9,2.1,8.4,4.8,0.092,0.023,0.001,0.087
Clemson,"9 Fields, Isaac G",f,3,0,2,17,-,117.9,0.5,0.5,0,50,0,0,0,0.000,0.000,0.000,0.000
Clemson,"10 Grantham, Donte F",f,33,32,27.8,16.1,100.8,107.4,0.485,0.464,13.2,49.8,5.2,13.1,8.4,0.100,0.016,0.025,0.139
Clemson,"11 Djitte, Sidy C",f,32,24,23.5,15.4,115.5,102.9,0.589,0.533,69.1,1.5,17.6,20.6,17.6,0.054,0.018,0.039,0.216
Clemson,"12 Hudson, Ty G",f,18,0,5.2,15.4,-,113.2,0.238,0.238,0,61.9,1.2,3.8,2.3,0.105,0.013,0.000,0.250
Clemson,"13 Davis, Lyles G",f,4,0,2,12,130.4,59.7,0.532,1,200,0,0,59.3,26.8,0.470,0.150,0.000,0.000
Clemson,"14 Robertin, Legend C",f,15,0,6.5,9.6,88.3,104.4,0.458,0.6,120,0,7,9.8,7.7,0.000,0.006,0.146,0.164
Pittsburgh,"1 Young, Michael F",f,33,31,33.2,30.9,112.6,109,0.562,0.497,46.1,25.7,5.8,17.3,10.8,0.203,0.010,0.024,0.108
