Team,First_name,Last_name,GP,GS,MPG,USG_P,OFF_RTG,DEF_RTG,TS_P,EFG_P,FT_RATE,3FG_TEND,OFF_REB_P,DEF_REB_P,REB_P,AST_P,STL_P,BLK_P,TO_P
Purdue,"9 Cline, Ryan G",f,31,7,21.4,12.2,116.5,101.7,0.605,0.593,8.2,81.3,1,9.4,5.1,0.124,0.010,0.005,0.137
Purdue,"10 Thompson, P.J. G",f,35,35,28.6,11.9,128.9,100.9,0.613,0.594,23,69.1,3,5.4,4,0.168,0.021,0.001,0.110
Purdue,"11 Eifert, Grady F",f,15,0,2.9,10.5,169.7,98.6,0.815,0.857,71.4,0,8.6,12.5,9.9,0.000,0.013,0.023,0.000
Purdue,"12 Albrecht, Spike G",f,28,0,12.5,8.4,117.3,99.9,0.466,0.341,46.3,63.4,4,9.4,6.4,0.156,0.018,0.003,0.154
Wisconsin,"1 Happ, Ethan F",f,37,37,27.8,26.7,115.1,86.1,0.583,0.586,43.5,0,13.3,25.4,17.7,0.233,0.041,0.047,0.154
Wisconsin,"2 Hayes, Nigel F",f,37,37,32.4,24.3,111.4,97.6,0.522,0.485,58.4,17.8,8,16.5,11.2,0.168,0.015,0.013,0.113
Wisconsin,"3 Ferris, Matt G",f,11,0,1,23.8,-,86.7,0,0,0,40,31.8,22.1,24.9,0.281,0.057,0.000,0.000
Wisconsin,"4 Koenig, Bronson G",f,36,35,31.4,23.6,114.8,101.6,0.568,0.538,14.6,60.6,0.6,7.6,3.7,0.133,0.013,0.012,0.100
Wisconsin,"5 Thomas, IV, Charles F",f,28,0,6.3,23.6,92.8,100.1,0.494,0.407,37,11.1,9.2,15.1,11.1,0.064,0.000,0.026,0.213
Wisconsin,"6 Van Vliet, Andy F",f,14,0,3.4,22.6,108.2,90.6,0.48,0.441,23.5,47.1,12.2,38,22.8,0.080,0.000,0.047,0.096
Wisconsin,"7 Brown, Vitto F",f,37,37,21,20,100.2,97.4,0.515,0.494,14.3,59.7,7.1,15,10.1,0.090,0.015,0.025,0.175
Wisconsin,"8 Trice, D'Mitrik G",f,37,2,18.3,18.4,105,99.3,0.518,0.484,20.7,49.5,1.2,11.1,5.6,0.171,0.019,0.005,0.156
Wisconsin,"9 Schlundt, T.J. G",f,13,0,1.6,16,67.7,102.6,0.233,0.167,16.7,66.7,5.6,5.8,5.2,0.000,0.000,0.054,0.000
Wisconsin,"10 Iverson, Khalil F",f,35,0,15.3,14.9,105.4,94.6,0.571,0.553,60.6,13.8,9.8,16.1,11.8,0.074,0.021,0.042,0.222
Wisconsin,"11 Pritzl, Brevin G",f,24,0,8.1,13.8,109.1,100,0.485,0.408,50,55.3,8.4,7.5,7.3,0.018,0.023,0.000,0.097
Wisconsin,"12 Showalter, Zak G",f,37,37,29.5,13.3,124.4,96.6,0.647,0.614,24.8,57.5,3.1,8.7,5.4,0.108,0.033,0.011,0.147
Wisconsin,"13 Illikainen, Alex F",f,27,0,8.3,11,101.3,100.2,0.402,0.378,32.4,43.2,8.3,13,9.8,0.068,0.008,0.015,0.106
Wisconsin,"14 Hill, Jordan G",f,35,0,9.9,10.1,100,101.2,0.457,0.435,16.7,64.8,2.3,10.8,6,0.078,0.011,0.003,0.134
