Team,Rk,Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Penn State,10,Deividas Zemgulis,18,111,5,20,0.25,2,6,0.333,3,14,0.214,1,2,0.5,3,9,12,1,2,1,7,21,14
Penn State,11,Isaiah Washington,17,85,3,14,0.214,0,2,0,3,12,0.25,3,4,0.75,0,5,5,2,1,0,5,12,12
Penn State,12,Grant Hazle,4,2,1,2,0.5,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,2
Penn State,13,Alex Zhao,4,5,0,2,0,0,1,0,0,1,0,0,0,,1,0,1,0,0,0,0,0,0
Nebraska,1,Tai Webster,31,1075,183,434,0.422,143,299,0.478,40,135,0.296,122,164,0.744,33,125,158,124,42,4,100,74,528
Nebraska,2,Glynn Watson Jr.,31,979,144,346,0.416,96,224,0.429,48,122,0.393,68,84,0.81,16,77,93,81,50,4,48,91,404
Nebraska,3,Jack McVeigh,30,688,73,196,0.372,26,57,0.456,47,139,0.338,32,41,0.78,14,62,76,19,16,8,21,27,225
Nebraska,4,Ed Morrow,24,562,92,179,0.514,92,179,0.514,0,0,,41,67,0.612,77,103,180,8,8,27,47,67,225
Nebraska,5,Michael Jacobson,31,743,72,184,0.391,68,161,0.422,4,23,0.174,37,57,0.649,89,103,192,33,23,27,28,77,185
Nebraska,6,Evan Taylor,31,755,64,155,0.413,58,130,0.446,6,25,0.24,27,37,0.73,17,72,89,37,28,3,37,54,161
Nebraska,7,Jordy Tshimanga,31,389,57,127,0.449,57,127,0.449,0,0,,40,64,0.625,54,69,123,8,14,15,46,69,154
Nebraska,8,Jeriah Horne,29,341,47,116,0.405,25,50,0.5,22,66,0.333,10,15,0.667,9,46,55,11,7,3,23,27,126
Nebraska,9,Isaiah Roby,30,457,37,94,0.394,33,74,0.446,4,20,0.2,16,21,0.762,36,52,88,22,16,25,36,58,94
Nebraska,10,Anton Gill,12,208,16,59,0.271,8,30,0.267,8,29,0.276,5,8,0.625,7,16,23,6,4,0,11,17,45
Nebraska,11,Nick Fuller,15,85,6,9,0.667,6,9,0.667,0,0,,5,7,0.714,5,12,17,4,2,0,1,15,17
Nebraska,12,Mohammad Elradi,2,3,1,1,1,1,1,1,0,0,,0,0,,0,1,1,1,0,0,0,0,2
Nebraska,13,Malcolm Laws,5,11,1,6,0.167,1,5,0.2,0,1,0,0,3,0,0,1,1,0,1,0,0,0,2
Nebraska,14,Tanner Borchardt,1,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
Nebraska,15,Jason Shultis,2,3,0,0,,0,0,,0,0,,0,0,,1,2,3,0,0,0,0,0,0
Rutgers,1,Corey Sanders,33,1003,163,427,0.382,142,348,0.408,21,79,0.266,76,124,0.613,17,90,107,107,44,16,90,63,423
Rutgers,2,DeShawn Freeman,33,890,137,284,0.482,131,268,0.489,6,16,0.375,85,137,0.62,94,163,257,29,32,30,64,87,365
Rutgers,3,Nigel Johnson,32,838,125,332,0.377,82,209,0.392,43,123,0.35,70,100,0.7,13,92,105,64,37,2,45,29,363
Rutgers,4,Mike Williams,33,865,109,278,0.392,66,143,0.462,43,135,0.319,49,67,0.731,70,98,168,37,30,9,33,76,310
Rutgers,5,C.J. Gettys,33,725,106,195,0.544,106,195,0.544,0,0,,42,63,0.667,66,107,173,38,13,26,52,80,254
Rutgers,6,Issa Thiam,31,570,42,127,0.331,12,29,0.414,30,98,0.306,4,8,0.5,11,43,54,10,12,2,24,33,118
Rutgers,7,Candido Sa,32,431,38,96,0.396,34,77,0.442,4,19,0.211,21,46,0.457,42,47,89,9,9,29,26,56,101
Rutgers,8,Jonathan Laurent,31,413,34,80,0.425,30,65,0.462,4,15,0.267,20,28,0.714,18,57,75,12,15,5,32,41,92
Rutgers,9,Eugene Omoruyi,33,395,29,82,0.354,29,71,0.408,0,11,0,20,32,0.625,32,41,73,34,15,9,35,47,78
Rutgers,10,Shaquille Doorson,31,272,18,32,0.563,18,32,0.563,0,0,,3,15,0.2,28,23,51,8,3,14,12,39,39
Rutgers,11,Ibrahima Diallo,18,150,6,27,0.222,6,26,0.231,0,1,0,3,8,0.375,13,19,32,5,5,11,9,30,15
Rutgers,12,Khalil Batie,7,14,1,3,0.333,0,0,,1,3,0.333,0,1,0,0,3,3,2,0,0,1,1,3
Rutgers,13,Jake Dadika,10,52,1,3,0.333,1,2,0.5,0,1,0,0,0,,0,2,2,5,2,0,4,1,2
Rutgers,14,Matt Bullock,2,4,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,0,0,0,1,0
Rutgers,15,Joey Downes,1,0,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0
Rutgers,16,Aaren Smith,1,4,0,0,,0,0,,0,0,,0,2,0,0,0,0,0,0,0,0,0,0
